anio,anio_base,horizonte_anios,departamento,tipo_vehiculo,cantidad_ev,cantidad_ev_modelada,fuente_cantidad_ev,kwh_promedio,potencia_carga,consumo_wh_km,consumo_energetico,consumo_energetico_kwh,escenario_simultaneidad,simultaneidad,demanda_futura,demanda_futura_kw
2010,,,ANTIOQUIA,MOTOCICLETA,12.0,12.0,historico,3.4666666666666663,4.091666666666667,35.0,41.599999999999994,41.599999999999994,bajo,0.2,9.82,9.82
2010,,,BOGOTA D.C.,AUTOMOVIL,3.0,3.0,historico,62.46666666666667,172.63333333333333,159.0,187.4,187.4,bajo,0.2,103.58,103.58
2010,,,BOGOTA D.C.,CAMIONETA,2.0,2.0,historico,691.45,599.25,1041.5,1382.9,1382.9,bajo,0.2,239.70000000000002,239.70000000000002
2010,,,BOGOTA D.C.,MOTOCARRO,1.0,1.0,historico,2.7,4.7,25.0,2.7,2.7,bajo,0.2,0.9400000000000001,0.9400000000000001
2010,,,BOGOTA D.C.,MOTOCICLETA,4.0,4.0,historico,3.35,3.875,30.5,13.4,13.4,bajo,0.2,3.1,3.1
2010,,,BOLIVAR,AUTOMOVIL,2.0,2.0,historico,52.45,175.89999999999998,164.0,104.9,104.9,bajo,0.2,70.36,70.36
2010,,,BOLIVAR,MOTOCICLETA,3.0,3.0,historico,3.6333333333333333,3.3333333333333335,31.666666666666668,10.9,10.9,bajo,0.2,2.0,2.0
2010,,,CUNDINAMARCA,CAMIONETA,13.0,13.0,historico,692.4769230769232,551.7461538461538,1043.3076923076924,9002.2,9002.2,bajo,0.2,1434.54,1434.54
2010,,,CUNDINAMARCA,MICROBUS,2.0,2.0,historico,381.4,231.75,1084.0,762.8,762.8,bajo,0.2,92.7,92.7
2010,,,CUNDINAMARCA,TRACTOCAMION,1.0,1.0,historico,836.6,528.6,1047.0,836.6,836.6,bajo,0.2,105.72000000000001,105.72000000000001
2010,,,VALLE DEL CAUCA,CAMIONETA,1.0,1.0,historico,815.5,620.3,956.0,815.5,815.5,bajo,0.2,124.06,124.06
2011,,,ANTIOQUIA,AUTOMOVIL,2.0,2.0,historico,60.9,203.45,145.5,121.8,121.8,bajo,0.2,81.38,81.38
2011,,,ANTIOQUIA,CAMIONETA,2.0,2.0,historico,704.75,687.4,1044.0,1409.5,1409.5,bajo,0.2,274.96,274.96
2011,,,ANTIOQUIA,MOTOCICLETA,41.0,41.0,historico,3.526829268292683,3.517073170731707,30.75609756097561,144.6,144.6,bajo,0.2,28.84,28.84
2011,,,BOGOTA D.C.,AUTOMOVIL,3.0,3.0,historico,63.56666666666666,153.20000000000002,152.66666666666666,190.7,190.7,bajo,0.2,91.92000000000002,91.92000000000002
2011,,,BOGOTA D.C.,CAMIONETA,2.0,2.0,historico,742.7,685.55,881.5,1485.4,1485.4,bajo,0.2,274.21999999999997,274.21999999999997
2011,,,BOGOTA D.C.,MOTOCICLETA,27.0,27.0,historico,3.2111111111111112,3.4296296296296296,31.074074074074073,86.7,86.7,bajo,0.2,18.52,18.52
2011,,,CUNDINAMARCA,CAMIONETA,17.0,17.0,historico,705.9,608.5235294117647,1115.3529411764705,12000.3,12000.3,bajo,0.2,2068.98,2068.98
2011,,,CUNDINAMARCA,MOTOCICLETA,1.0,1.0,historico,4.0,3.0,32.0,4.0,4.0,bajo,0.2,0.6000000000000001,0.6000000000000001
2011,,,META,MOTOCICLETA,2.0,2.0,historico,2.8,3.1500000000000004,30.5,5.6,5.6,bajo,0.2,1.2600000000000002,1.2600000000000002
